iter	Passed	Remaining
485	656	694
486	657	692
487	659	691
488	660	690
489	661	688
490	663	687
491	664	686
492	666	685
493	668	684
494	669	683
495	671	682
496	672	680
497	673	679
498	675	678
499	677	677
500	678	675
501	680	674
502	682	674
503	683	672
504	684	671
505	686	669
506	687	668
507	689	667
508	690	666
509	692	665
510	694	664
511	695	663
512	697	662
513	698	660
514	700	659
515	701	658
516	703	657
517	704	655
518	706	654
519	707	653
520	708	651
521	710	650
522	711	649
523	713	647
524	714	646
525	715	645
526	717	643
527	718	642
528	719	640
529	721	639
530	722	638
531	723	636
532	726	636
533	727	634
534	729	633
535	730	632
536	731	630
537	732	629
538	734	627
539	735	626
540	736	625
541	738	624
542	739	622
543	741	621
544	742	619
545	743	618
546	745	616
547	746	615
548	747	613
549	748	612
550	749	611
551	751	609
552	752	608
553	753	606
554	755	605
555	756	604
556	758	603
557	759	601
558	760	600
559	761	598
560	763	597
561	764	595
562	765	594
563	766	592
564	768	591
565	770	590
566	773	590
567	774	589
568	776	587
569	777	586
570	780	586
571	781	585
572	783	583
573	784	582
574	786	581
575	787	579
576	789	578
577	791	577
578	792	576
579	794	575
580	796	574
581	797	572
582	799	571
583	800	570
584	801	568
585	803	567
586	805	566
587	806	565
588	807	563
589	809	562
590	810	560
591	811	559
592	812	557
593	813	556
594	815	554
595	816	553
596	818	552
597	819	551
598	820	549
599	822	548
600	823	546
601	824	545
602	826	543
603	827	542
604	829	541
605	830	539
606	831	538
607	833	537
608	834	535
609	835	534
610	837	532
611	838	531
612	839	530
613	840	528
614	841	527
615	843	525
616	844	524
617	845	522
618	847	521
619	848	520
620	850	518
621	851	517
622	853	516
623	854	514
624	855	513
625	856	511
626	858	510
627	859	509
628	861	507
629	862	506
630	864	505
631	865	504
632	866	502
633	868	501
634	869	499
635	870	498
636	871	496
637	872	495
638	873	493
639	875	492
640	876	491
641	878	489
642	879	488
643	880	486
644	882	485
645	883	484
646	884	482
647	885	481
648	886	479
649	887	478
650	889	476
651	890	475
652	892	474
653	893	472
654	894	471
655	895	469
656	896	468
657	898	466
658	899	465
659	900	463
660	901	462
661	902	460
662	903	459
663	905	458
664	906	456
665	907	455
666	908	453
667	910	452
668	911	450
669	912	449
670	913	448
671	914	446
672	915	445
673	917	443
674	918	442
675	919	440
676	921	439
677	922	438
678	923	436
679	924	435
680	925	433
681	927	432
682	928	430
683	929	429
684	930	427
685	931	426
686	933	425
687	934	423
688	935	422
689	937	421
690	938	419
691	940	418
692	941	416
693	942	415
694	943	414
695	944	412
696	945	411
697	946	409
698	948	408
699	949	406
700	950	405
701	951	404
702	953	402
703	954	401
704	955	399
705	956	398
706	957	396
707	958	395
708	959	393
709	960	392
710	961	390
711	962	389
712	964	388
713	965	386
714	966	385
715	967	383
716	969	382
717	970	381
718	971	379
719	973	378
720	974	377
721	975	375
722	977	374
723	978	372
724	979	371
725	980	370
726	982	368
727	983	367
728	984	366
729	985	364
730	986	363
731	988	361
732	989	360
733	990	358
734	991	357
735	992	356
736	993	354
737	995	353
738	996	352
739	997	350
740	998	349
741	1000	347
742	1001	346
743	1003	345
744	1004	343
745	1005	342
746	1006	341
747	1008	339
748	1009	338
749	1010	336
750	1012	335
751	1013	334
752	1014	332
753	1015	331
754	1016	330
755	1018	328
756	1019	327
757	1020	325
758	1022	324
759	1023	323
760	1024	321
761	1026	320
762	1027	319
763	1028	317
764	1029	316
765	1031	315
766	1032	313
767	1033	312
768	1034	310
769	1035	309
770	1036	307
771	1037	306
772	1039	305
773	1041	304
774	1042	302
775	1044	301
776	1045	299
777	1046	298
778	1047	297
779	1048	295
780	1049	294
781	1050	292
782	1051	291
783	1054	290
784	1055	289
785	1057	287
786	1058	286
787	1059	285
788	1060	283
789	1062	282
790	1063	280
791	1064	279
792	1065	278
793	1066	276
794	1067	275
795	1069	274
796	1070	272
797	1071	271
798	1072	269
799	1074	268
800	1075	267
801	1076	265
802	1077	264
803	1078	262
804	1079	261
805	1080	260
806	1082	258
807	1083	257
808	1085	256
809	1086	254
